Test Date: 14/05/2025 00:00
Time zone,E. South America Standard Time
Test Date,14-May-2025
Trigger
Requires Trigger,Off
Trigger Channel,
Deceleration
Ignore runs that exceed (g),0.20
Smooth Level,4
Speed Quality
Check,Off
Speed threshold (km/h),0.10
In (s),0.05

Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,,,,,,,,,,Notes
On,+,1,52.05,1057.87,12:26:21.614,4.44,4.44,4.56,7.33,7.43,4.47,3.42,3.21,3.07,3.01,3.81,1.88,2.98,0.35,2.10,
On,-,2,59.70,1062.06,12:29:14.994,0.26,4.84,3.47,2.93,3.24,3.63,5.54,5.64,4.65,4.02,4.07,4.24,4.34,4.55,4.54,
On,+,3,54.70,1089.97,12:32:42.214,3.81,4.91,4.43,4.91,8.48,5.59,3.97,3.01,3.43,3.31,2.17,4.47,1.93,2.83,1.24,
On,-,4,68.72,1282.27,12:35:53.606,1.33,9.03,6.21,3.93,3.22,3.37,4.06,6.16,6.39,4.27,4.22,4.05,4.54,4.59,4.68,
On,+,5,66.05,1301.78,12:38:52.037,2.67,5.33,7.15,4.90,4.83,9.69,7.22,4.59,3.15,3.65,3.43,3.13,4.02,2.88,2.07,
On,-,6,60.91,1084.15,12:42:00.151,0.65,5.31,3.70,3.10,3.18,3.48,4.83,5.94,5.29,4.01,4.04,4.03,4.60,4.42,4.98,
On,+,7,61.54,1233.42,12:44:57.534,2.15,7.01,4.88,4.84,7.96,8.47,4.59,3.24,2.14,4.22,3.24,3.85,2.78,1.69,2.64,
On,-,8,65.19,1198.21,12:48:46.232,0.76,8.76,4.25,3.32,3.20,3.36,4.34,6.05,5.76,4.22,4.19,4.05,4.34,4.63,4.70,
On,+,9,54.26,1093.32,12:51:28.264,3.56,5.04,4.42,5.85,8.53,5.21,3.79,2.71,3.52,3.44,3.33,3.09,2.38,1.54,1.39,
On,-,10,60.61,1078.29,12:53:39.884,0.25,5.06,3.67,3.11,3.20,3.56,5.58,5.80,4.49,4.11,3.91,4.15,4.34,4.71,4.91,
,,Average,60.37,1148.13,12:40:23.653,1.99,5.97,4.67,4.42,5.33,5.08,4.73,4.63,4.19,3.83,3.64,3.69,3.62,3.22,3.33
,,Max,68.72,1301.78,12:53:39.884,4.44,9.03,7.15,7.33,8.53,9.69,7.22,6.16,6.39,4.27,4.22,4.47,4.60,4.71,4.98
,,Min,52.05,1057.87,12:26:21.614,0.25,4.44,3.47,2.93,3.18,3.36,3.42,2.71,2.14,3.01,2.17,1.88,1.93,0.35,1.24
,,Std Dev,5.44,95.63,00:09:24.011,1.56,1.68,1.17,1.43,2.45,2.27,1.13,1.44,1.35,0.44,0.63,0.78,1.00,1.60,1.57


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,,,,,,,,,,Notes
On,+,1,52.05,1057.87,12:26:21.614,4.44,4.44,4.56,7.33,7.43,4.47,3.42,3.21,3.07,3.01,3.81,1.88,2.98,0.35,2.10,
On,+,3,54.70,1089.97,12:32:42.214,3.81,4.91,4.43,4.91,8.48,5.59,3.97,3.01,3.43,3.31,2.17,4.47,1.93,2.83,1.24,
On,+,5,66.05,1301.78,12:38:52.037,2.67,5.33,7.15,4.90,4.83,9.69,7.22,4.59,3.15,3.65,3.43,3.13,4.02,2.88,2.07,
On,+,7,61.54,1233.42,12:44:57.534,2.15,7.01,4.88,4.84,7.96,8.47,4.59,3.24,2.14,4.22,3.24,3.85,2.78,1.69,2.64,
On,+,9,54.26,1093.32,12:51:28.264,3.56,5.04,4.42,5.85,8.53,5.21,3.79,2.71,3.52,3.44,3.33,3.09,2.38,1.54,1.39,


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,,,,,,,,,,Notes
On,-,2,59.70,1062.06,12:29:14.994,0.26,4.84,3.47,2.93,3.24,3.63,5.54,5.64,4.65,4.02,4.07,4.24,4.34,4.55,4.54,
On,-,4,68.72,1282.27,12:35:53.606,1.33,9.03,6.21,3.93,3.22,3.37,4.06,6.16,6.39,4.27,4.22,4.05,4.54,4.59,4.68,
On,-,6,60.91,1084.15,12:42:00.151,0.65,5.31,3.70,3.10,3.18,3.48,4.83,5.94,5.29,4.01,4.04,4.03,4.60,4.42,4.98,
On,-,8,65.19,1198.21,12:48:46.232,0.76,8.76,4.25,3.32,3.20,3.36,4.34,6.05,5.76,4.22,4.19,4.05,4.34,4.63,4.70,
On,-,10,60.61,1078.29,12:53:39.884,0.25,5.06,3.67,3.11,3.20,3.56,5.58,5.80,4.49,4.11,3.91,4.15,4.34,4.71,4.91,
