Device Information:,,,,,,,,,,,,,,,,,,,
Name:,AGRICULTR - 2493304,,,,,,,,,,,,,,,,,,
Model:,5500AGL,,,,,,,,,,,,,,,,,,
Serial:,2493304,,,,,,,,,,,,,,,,,,
Firmware:,1.49,,,,,,,,,,,,,,,,,,
Profile Version:,0.09,,,,,,,,,,,,,,,,,,
Hardware Version:,Rev 14,,,,,,,,,,,,,,,,,,
LiNK Version:,1.04.04,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Time,Temp,Wet Bulb Temp.,Rel. Hum.,Baro.,Altitude,Station P.,Wind Speed,Heat Index,Dew Point,Dens. Alt.,Air Flow,Crosswind,Headwind,Mag. Dir.,True Dir.,Wind Chill,Delta T,Unknown,Unknown
yyyy-MM-dd hh:mm:ss,Celsius,Celsius,%,mb,Meters,mb,m/s,Celsius,Celsius,Meters,m³/sec,m/s,m/s,Degrees,Degrees,Celsius,Celsius,None,None
12/08/2025 11:47,23.1,17.6,59.2,957.4,474,957.4,1.5,23,14.7,938,0.1,***,***,***,***,23.1,5.5,70.1,69.6
12/08/2025 11:47,22.2,17.3,62.9,957.5,472,957.6,1.2,22.3,14.8,908,0.1,***,***,***,***,22.2,4.9,69.2,68.8
12/08/2025 11:48,22.8,18.6,67.7,957.2,474,957.3,0.5,23,16.5,938,0,***,***,***,***,22.7,4.2,70.3,69.9
12/08/2025 11:48,22.5,18.1,65.5,957.5,473,957.5,1.6,22.7,15.8,923,0.1,0.5,-1.5,191,192,22.5,4.4,69.9,69.5
12/08/2025 11:49,21.6,17.5,67.7,957.2,474,957.3,0.9,21.9,15.4,892,0.1,0.3,-0.9,196,197,21.6,4.1,68.6,68.3
12/08/2025 11:49,22.4,18.2,67.5,957.2,475,957.2,1.5,22.6,16,922,0.1,0.4,-1.4,197,197,22.3,4.2,69.8,69.4
12/08/2025 11:50,21.2,17.4,69.9,957.5,472,957.5,1.3,21.4,15.5,877,0.1,0.4,-1.3,165,165,21.2,3.8,68.2,68
12/08/2025 11:50,22,18.3,70.9,957.5,472,957.5,1.2,22.4,16.5,910,0.1,1.1,-0.5,248,248,22,3.7,69.4,69.1
12/08/2025 11:51,23.2,19.2,69.8,957.4,473,957.4,0.8,23.7,17.4,956,0.1,0.3,-0.7,201,201,23.2,4,71.2,70.7
12/08/2025 11:51,23.5,19.1,66.7,957.2,474,957.4,0,23.8,16.9,964,0,0,0,227,227,23.5,4.4,71.3,70.8
12/08/2025 11:52,24,19.1,63.8,957.4,473,957.4,0,24.2,16.8,981,0,0,0,227,228,24,4.9,71.9,71.3
12/08/2025 11:52,24.7,20.5,69.4,957.4,474,957.4,0,25.1,18.7,1012,0,0,0,211,211,24.6,4.2,73.1,72.5
12/08/2025 11:53,25.5,20.6,65.1,957.2,474,957.4,0,26.1,18.4,1039,0,0,0,194,195,25.4,4.9,74.1,73.3
12/08/2025 11:53,25.1,20.3,65.1,957.2,474,957.3,0,25.6,18.1,1025,0,0,0,112,112,25.1,4.8,73.5,72.8
12/08/2025 11:54,24,19,63.4,957.4,474,957.4,0.6,24.1,16.6,976,0.1,0.2,-0.5,150,150,23.9,5,71.7,71.1
12/08/2025 11:54,25.6,20.8,65.6,957.4,473,957.4,0,26.3,18.7,1044,0,0,0,133,133,25.5,4.8,74.1,73.3
12/08/2025 11:54,26.4,21.6,66,957.4,473,957.4,0,27.8,19.6,1077,0,0,0,91,91,26.4,4.8,75.6,74.7
12/08/2025 11:55,26.2,21.9,69.1,957.4,473,957.4,0,27.8,20.1,1074,0,0,0,49,50,26.2,4.3,75.6,74.7
12/08/2025 11:55,27.9,21.5,58,957.5,473,957.5,0.4,29,18.9,1121,0,0.4,0,264,264,27.8,6.4,76.7,75.9
12/08/2025 11:56,27.1,20.1,53.8,957.4,473,957.4,0,27.4,16.9,1085,0,0,0,264,264,27,7,74.8,74.2
12/08/2025 11:56,24.2,18,56.3,957.5,472,957.5,0.8,23.8,14.9,975,0.1,0.1,0.8,352,353,24.1,6.2,71.2,70.7
12/08/2025 11:57,25.9,20,59.2,957.5,472,957.5,0.4,26.2,17.3,1044,0,0,0.4,352,353,25.8,5.9,73.9,73.2
12/08/2025 11:57,22.8,17.6,61.1,957.4,473,957.4,0.7,22.7,14.9,928,0.1,0.1,0.7,352,352,22.7,5.2,69.8,69.3
