Test Date: 23/04/2024 13:12
Time zone,E. South America Standard Time
Test Date,
Trigger
Requires Trigger,Off
Trigger Channel,
Deceleration
Ignore runs that exceed (g),0.20
Smooth Level,4
Speed Quality
Check,Off
Speed threshold (km/h),0.10
In (s),0.05

Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,Notes
On,+,1,4.64,53.16,16:11:53.735,0.46,0.87,1.83,1.93,
On,-,2,31.96,373.40,16:12:51.943,0.28,9.79,9.95,12.22,
On,+,3,28.47,334.21,16:15:05.638,0.22,8.96,9.30,10.21,
On,+,4,5.22,61.05,16:16:10.347,0.48,1.08,2.57,1.57,
On,-,5,30.26,356.67,16:17:19.001,0.28,9.62,10.19,10.45,
On,+,6,28.09,329.78,16:19:19.942,0.23,8.98,8.72,10.39,
On,-,7,32.12,380.12,16:21:28.752,0.32,10.74,10.67,10.71,
On,+,8,28.35,334.12,16:23:27.111,0.24,9.43,8.83,10.10,
On,+,9,4.59,53.10,16:24:29.873,0.44,0.89,1.81,1.89,
On,-,10,28.62,335.89,16:25:34.311,0.23,8.68,9.72,10.21,
On,+,11,29.51,345.76,16:27:33.156,0.39,8.94,9.76,10.81,
On,+,12,4.58,53.64,16:28:35.974,0.40,1.06,2.12,1.41,
On,-,13,29.54,347.96,16:29:42.416,0.37,9.29,10.31,9.94,
On,+,14,27.83,325.93,16:31:46.081,0.24,8.64,8.83,10.37,
On,-,15,31.35,367.53,16:34:02.491,0.25,9.16,11.08,11.11,
On,+,16,27.41,321.75,16:36:03.616,0.23,8.75,8.51,10.15,
On,+,17,4.52,56.42,16:37:06.781,0.60,2.50,1.50,0.52,
On,-,18,33.35,396.51,16:38:12.332,0.23,11.75,11.36,10.24,
Off,+,19,24.29,286.53,16:40:06.766,0.18,8.13,7.89,8.27,
,,Average,22.88,269.13,16:25:50.014,0.32,7.22,7.63,8.03
,,Max,33.35,396.51,16:40:06.766,0.60,11.75,11.36,12.22
,,Min,4.52,53.10,16:11:53.735,0.18,0.87,1.50,0.52
,,Std Dev,11.33,133.34,00:08:54.671,0.12,3.75,3.59,4.10


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,Notes
On,+,1,4.64,53.16,16:11:53.735,0.46,0.87,1.83,1.93,
On,+,3,28.47,334.21,16:15:05.638,0.22,8.96,9.30,10.21,
On,+,4,5.22,61.05,16:16:10.347,0.48,1.08,2.57,1.57,
On,+,6,28.09,329.78,16:19:19.942,0.23,8.98,8.72,10.39,
On,+,8,28.35,334.12,16:23:27.111,0.24,9.43,8.83,10.10,
On,+,9,4.59,53.10,16:24:29.873,0.44,0.89,1.81,1.89,
On,+,11,29.51,345.76,16:27:33.156,0.39,8.94,9.76,10.81,
On,+,12,4.58,53.64,16:28:35.974,0.40,1.06,2.12,1.41,
On,+,14,27.83,325.93,16:31:46.081,0.24,8.64,8.83,10.37,
On,+,16,27.41,321.75,16:36:03.616,0.23,8.75,8.51,10.15,
On,+,17,4.52,56.42,16:37:06.781,0.60,2.50,1.50,0.52,
Off,+,19,24.29,286.53,16:40:06.766,0.18,8.13,7.89,8.27,


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,Notes
On,-,2,31.96,373.40,16:12:51.943,0.28,9.79,9.95,12.22,
On,-,5,30.26,356.67,16:17:19.001,0.28,9.62,10.19,10.45,
On,-,7,32.12,380.12,16:21:28.752,0.32,10.74,10.67,10.71,
On,-,10,28.62,335.89,16:25:34.311,0.23,8.68,9.72,10.21,
On,-,13,29.54,347.96,16:29:42.416,0.37,9.29,10.31,9.94,
On,-,15,31.35,367.53,16:34:02.491,0.25,9.16,11.08,11.11,
On,-,18,33.35,396.51,16:38:12.332,0.23,11.75,11.36,10.24,
