Test Date: 15/01/2026 13:17
Time zone,E. South America Standard Time
Test Date,
Trigger
Requires Trigger,Off
Trigger Channel,
Deceleration
Ignore runs that exceed (g),0.20
Smooth Level,4
Speed Quality
Check,Off
Speed threshold (km/h),0.10
In (s),0.05

Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,Notes
On,+,1,35.49,804.54,16:17:21.377,0.08,5.82,6.63,7.00,7.84,8.20,
On,-,2,35.17,798.28,16:19:30.717,0.08,5.92,6.60,6.85,7.67,8.13,
On,+,3,35.37,804.69,16:21:23.852,0.08,6.14,6.71,6.90,7.84,7.78,
On,-,4,35.22,798.01,16:23:36.214,0.07,5.76,6.29,7.27,7.71,8.19,
On,+,5,35.74,813.84,16:25:30.587,0.07,6.54,6.26,7.81,7.33,7.79,
On,-,6,36.98,838.11,16:27:33.517,0.08,5.62,7.17,7.92,8.00,8.27,
On,+,7,35.87,812.53,16:29:34.957,0.07,5.86,6.51,7.48,7.22,8.79,
On,-,8,36.96,837.55,16:31:28.534,0.08,5.87,6.65,7.76,8.02,8.65,
On,+,9,37.44,848.88,16:33:28.232,0.07,6.27,6.89,7.53,7.82,8.93,
On,-,10,35.26,800.16,16:35:28.454,0.07,6.01,6.43,7.02,7.74,8.06,
On,+,11,37.77,858.44,16:37:15.627,0.07,6.52,7.50,6.83,8.46,8.45,
On,-,12,35.23,800.01,16:39:16.612,0.06,6.26,6.25,6.89,7.58,8.25,
On,+,13,37.72,855.83,16:41:04.254,0.06,6.31,6.93,7.88,7.77,8.83,
Off,-,14,36.66,831.86,16:43:04.497,0.07,6.44,6.54,7.34,7.69,8.65,
,,Average,36.20,821.62,16:30:24.102,0.07,6.10,6.67,7.32,7.76,8.35
,,Max,37.77,858.44,16:43:04.497,0.08,6.54,7.50,7.92,8.46,8.93
,,Min,35.17,798.01,16:17:21.377,0.06,5.62,6.25,6.83,7.22,7.78
,,Std Dev,1.00,22.62,00:08:15.136,0.01,0.30,0.36,0.41,0.30,0.37


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,Notes
On,+,1,35.49,804.54,16:17:21.377,0.08,5.82,6.63,7.00,7.84,8.20,
On,+,3,35.37,804.69,16:21:23.852,0.08,6.14,6.71,6.90,7.84,7.78,
On,+,5,35.74,813.84,16:25:30.587,0.07,6.54,6.26,7.81,7.33,7.79,
On,+,7,35.87,812.53,16:29:34.957,0.07,5.86,6.51,7.48,7.22,8.79,
On,+,9,37.44,848.88,16:33:28.232,0.07,6.27,6.89,7.53,7.82,8.93,
On,+,11,37.77,858.44,16:37:15.627,0.07,6.52,7.50,6.83,8.46,8.45,
On,+,13,37.72,855.83,16:41:04.254,0.06,6.31,6.93,7.88,7.77,8.83,


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,Notes
On,-,2,35.17,798.28,16:19:30.717,0.08,5.92,6.60,6.85,7.67,8.13,
On,-,4,35.22,798.01,16:23:36.214,0.07,5.76,6.29,7.27,7.71,8.19,
On,-,6,36.98,838.11,16:27:33.517,0.08,5.62,7.17,7.92,8.00,8.27,
On,-,8,36.96,837.55,16:31:28.534,0.08,5.87,6.65,7.76,8.02,8.65,
On,-,10,35.26,800.16,16:35:28.454,0.07,6.01,6.43,7.02,7.74,8.06,
On,-,12,35.23,800.01,16:39:16.612,0.06,6.26,6.25,6.89,7.58,8.25,
Off,-,14,36.66,831.86,16:43:04.497,0.07,6.44,6.54,7.34,7.69,8.65,
