Test Date: 16/01/2026 10:23
Time zone,E. South America Standard Time
Test Date,16-Jan-2026
Trigger
Requires Trigger,Off
Trigger Channel,
Deceleration
Ignore runs that exceed (g),0.20
Smooth Level,4
Speed Quality
Check,Off
Speed threshold (km/h),0.10
In (s),0.05

Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,Notes
On,+,1,32.95,747.43,13:29:42.464,0.13,5.57,6.11,6.55,6.92,7.80,
On,-,2,37.92,860.61,13:31:37.922,0.09,6.24,7.19,7.57,8.17,8.75,
On,+,3,34.29,778.07,13:33:33.607,0.13,5.93,6.29,6.81,7.04,8.22,
On,-,4,37.82,857.58,13:35:29.297,0.09,6.19,7.00,7.78,8.01,8.84,
On,+,5,34.08,773.87,13:37:21.242,0.13,5.88,6.25,6.73,7.40,7.82,
On,-,6,38.33,870.18,13:39:24.724,0.09,6.67,6.98,7.47,8.32,8.89,
On,+,7,34.14,775.21,13:41:20.674,0.13,5.91,6.51,6.93,6.63,8.16,
On,-,8,38.13,863.79,13:43:13.324,0.09,6.27,7.13,7.25,8.25,9.23,
On,+,9,35.25,800.58,13:45:09.194,0.13,6.07,6.80,6.67,7.38,8.33,
On,-,10,37.11,841.84,13:47:11.127,0.09,6.41,6.76,7.24,7.71,8.99,
On,+,11,35.40,801.56,13:49:01.082,0.13,6.11,5.78,7.00,8.03,8.47,
On,-,12,37.55,854.30,13:51:06.044,0.08,6.53,7.18,7.65,7.75,8.44,
On,+,13,36.34,824.79,13:52:55.514,0.13,6.25,6.73,7.23,7.58,8.55,
On,-,14,37.32,844.87,13:54:43.352,0.02,6.27,6.83,7.05,8.03,9.14,
On,+,15,36.05,817.49,13:56:42.514,0.13,5.99,6.74,7.08,7.73,8.51,
On,-,16,37.52,849.62,13:58:37.474,0.00,6.19,6.65,7.72,8.06,8.90,
On,+,17,35.95,816.99,14:00:40.284,0.13,6.38,6.56,7.06,7.61,8.34,
On,-,18,37.63,852.56,14:03:21.337,0.02,6.43,6.76,7.35,8.04,9.05,
On,+,19,35.20,797.93,14:05:39.784,0.13,5.90,6.21,7.47,7.22,8.40,
On,-,20,37.86,860.59,14:08:02.272,0.02,6.60,7.04,7.78,7.93,8.51,
,,Average,36.34,824.49,13:48:14.662,0.09,6.19,6.67,7.22,7.69,8.57
,,Max,38.33,870.18,14:08:02.272,0.13,6.67,7.19,7.78,8.32,9.23
,,Min,32.95,747.43,13:29:42.464,0.00,5.57,5.78,6.55,6.63,7.80
,,Std Dev,1.61,36.53,00:11:42.961,0.04,0.28,0.39,0.38,0.47,0.40


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,Notes
On,+,1,32.95,747.43,13:29:42.464,0.13,5.57,6.11,6.55,6.92,7.80,
On,+,3,34.29,778.07,13:33:33.607,0.13,5.93,6.29,6.81,7.04,8.22,
On,+,5,34.08,773.87,13:37:21.242,0.13,5.88,6.25,6.73,7.40,7.82,
On,+,7,34.14,775.21,13:41:20.674,0.13,5.91,6.51,6.93,6.63,8.16,
On,+,9,35.25,800.58,13:45:09.194,0.13,6.07,6.80,6.67,7.38,8.33,
On,+,11,35.40,801.56,13:49:01.082,0.13,6.11,5.78,7.00,8.03,8.47,
On,+,13,36.34,824.79,13:52:55.514,0.13,6.25,6.73,7.23,7.58,8.55,
On,+,15,36.05,817.49,13:56:42.514,0.13,5.99,6.74,7.08,7.73,8.51,
On,+,17,35.95,816.99,14:00:40.284,0.13,6.38,6.56,7.06,7.61,8.34,
On,+,19,35.20,797.93,14:05:39.784,0.13,5.90,6.21,7.47,7.22,8.40,


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,Notes
On,-,2,37.92,860.61,13:31:37.922,0.09,6.24,7.19,7.57,8.17,8.75,
On,-,4,37.82,857.58,13:35:29.297,0.09,6.19,7.00,7.78,8.01,8.84,
On,-,6,38.33,870.18,13:39:24.724,0.09,6.67,6.98,7.47,8.32,8.89,
On,-,8,38.13,863.79,13:43:13.324,0.09,6.27,7.13,7.25,8.25,9.23,
On,-,10,37.11,841.84,13:47:11.127,0.09,6.41,6.76,7.24,7.71,8.99,
On,-,12,37.55,854.30,13:51:06.044,0.08,6.53,7.18,7.65,7.75,8.44,
On,-,14,37.32,844.87,13:54:43.352,0.02,6.27,6.83,7.05,8.03,9.14,
On,-,16,37.52,849.62,13:58:37.474,0.00,6.19,6.65,7.72,8.06,8.90,
On,-,18,37.63,852.56,14:03:21.337,0.02,6.43,6.76,7.35,8.04,9.05,
On,-,20,37.86,860.59,14:08:02.272,0.02,6.60,7.04,7.78,7.93,8.51,
