Test Date: 15/01/2026 13:53
Time zone,E. South America Standard Time
Test Date,
Trigger
Requires Trigger,Off
Trigger Channel,
Deceleration
Ignore runs that exceed (g),0.20
Smooth Level,4
Speed Quality
Check,Off
Speed threshold (km/h),0.10
In (s),0.05

Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,Notes
On,+,1,43.68,511.42,16:53:02.411,0.12,13.32,14.40,15.96,
On,-,2,44.87,524.54,16:55:53.632,0.15,13.31,14.79,16.77,
On,+,3,41.75,487.00,16:58:37.402,0.13,11.96,14.48,15.31,
On,-,4,42.15,493.83,17:01:27.122,0.15,12.95,14.22,14.98,
On,+,5,42.23,494.25,17:04:19.912,0.14,13.06,13.88,15.29,
On,-,6,42.56,498.29,17:07:04.442,0.14,12.71,14.27,15.58,
On,+,7,40.29,467.33,17:09:34.772,0.15,10.58,14.22,15.49,
On,-,8,42.06,492.80,17:12:41.146,0.13,12.82,13.77,15.47,
On,+,9,40.72,475.99,17:15:23.341,0.15,11.97,13.76,14.99,
On,-,10,43.59,510.08,17:18:27.201,0.14,13.08,14.39,16.12,
Off,-,11,7.22,85.16,17:19:39.786,0.08,2.39,2.44,2.39,
On,+,12,40.36,472.24,17:22:12.652,0.15,12.42,13.12,14.82,
On,-,13,44.94,526.51,17:25:23.136,0.14,13.27,15.39,16.28,
On,+,14,38.59,453.26,17:27:52.612,0.15,12.06,12.88,13.65,
On,-,15,44.78,522.83,17:30:41.702,0.15,13.12,14.75,16.91,
On,+,16,37.80,440.90,17:33:21.692,0.14,11.01,12.29,14.50,
On,-,17,43.42,508.57,17:36:19.292,0.14,13.50,13.96,15.96,
,,Average,40.06,468.53,17:14:49.544,0.14,11.97,13.35,14.73
,,Max,44.94,526.51,17:36:19.292,0.15,13.50,15.39,16.91
,,Min,7.22,85.16,16:53:02.411,0.08,2.39,2.44,2.39
,,Std Dev,8.71,101.79,00:13:28.812,0.02,2.60,2.91,3.28


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,Notes
On,+,1,43.68,511.42,16:53:02.411,0.12,13.32,14.40,15.96,
On,+,3,41.75,487.00,16:58:37.402,0.13,11.96,14.48,15.31,
On,+,5,42.23,494.25,17:04:19.912,0.14,13.06,13.88,15.29,
On,+,7,40.29,467.33,17:09:34.772,0.15,10.58,14.22,15.49,
On,+,9,40.72,475.99,17:15:23.341,0.15,11.97,13.76,14.99,
On,+,12,40.36,472.24,17:22:12.652,0.15,12.42,13.12,14.82,
On,+,14,38.59,453.26,17:27:52.612,0.15,12.06,12.88,13.65,
On,+,16,37.80,440.90,17:33:21.692,0.14,11.01,12.29,14.50,


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,Notes
On,-,2,44.87,524.54,16:55:53.632,0.15,13.31,14.79,16.77,
On,-,4,42.15,493.83,17:01:27.122,0.15,12.95,14.22,14.98,
On,-,6,42.56,498.29,17:07:04.442,0.14,12.71,14.27,15.58,
On,-,8,42.06,492.80,17:12:41.146,0.13,12.82,13.77,15.47,
On,-,10,43.59,510.08,17:18:27.201,0.14,13.08,14.39,16.12,
Off,-,11,7.22,85.16,17:19:39.786,0.08,2.39,2.44,2.39,
On,-,13,44.94,526.51,17:25:23.136,0.14,13.27,15.39,16.28,
On,-,15,44.78,522.83,17:30:41.702,0.15,13.12,14.75,16.91,
On,-,17,43.42,508.57,17:36:19.292,0.14,13.50,13.96,15.96,
