Test Date: 16/01/2026 09:20
Time zone,E. South America Standard Time
Test Date,
Trigger
Requires Trigger,Off
Trigger Channel,
Deceleration
Ignore runs that exceed (g),0.20
Smooth Level,4
Speed Quality
Check,Off
Speed threshold (km/h),0.10
In (s),0.05

Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,Notes
On,+,1,38.26,448.22,12:24:57.702,0.16,11.74,12.62,13.90,
On,-,2,39.44,461.69,12:27:38.311,0.16,12.09,13.05,14.30,
On,+,3,37.30,436.12,12:30:09.792,0.15,11.23,12.23,13.84,
On,-,4,41.30,483.10,12:32:49.342,0.16,12.43,13.46,15.41,
On,+,5,37.61,438.34,12:35:16.952,0.15,10.91,12.69,14.01,
On,-,6,40.95,478.42,12:38:01.342,0.17,12.08,13.30,15.57,
On,+,7,37.80,443.70,12:40:28.912,0.16,11.76,12.47,13.57,
On,-,8,41.54,484.82,12:43:09.632,0.15,12.09,13.67,15.78,
On,+,9,39.51,462.80,12:45:57.495,0.13,11.96,13.12,14.43,
On,-,10,41.31,484.18,12:48:26.392,0.16,12.60,13.98,14.73,
On,+,11,38.71,453.87,12:51:01.606,0.12,12.05,12.80,13.86,
On,-,12,40.81,476.96,12:53:47.942,0.16,12.22,13.37,15.22,
On,+,13,37.51,439.36,12:56:15.722,0.13,11.32,12.65,13.54,
On,-,14,41.11,481.03,12:58:56.002,0.15,12.29,13.88,14.94,
On,+,15,38.92,455.49,13:01:18.492,0.13,11.91,12.52,14.49,
On,-,16,41.63,486.92,13:03:59.842,0.15,12.45,13.53,15.65,
On,+,17,38.96,457.11,13:06:32.392,0.15,11.88,13.14,13.94,
On,-,18,40.63,476.37,13:09:07.552,0.15,12.55,13.27,14.81,
On,+,19,38.30,447.80,13:11:29.212,0.13,11.10,13.30,13.90,
On,-,20,41.58,484.53,13:14:02.841,0.16,11.75,14.05,15.78,
,,Average,39.66,464.04,12:49:40.374,0.15,11.92,13.15,14.58
,,Max,41.63,486.92,13:14:02.841,0.17,12.60,14.05,15.78
,,Min,37.30,436.12,12:24:57.702,0.12,10.91,12.23,13.54
,,Std Dev,1.56,18.02,00:15:20.012,0.01,0.48,0.52,0.77


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,Notes
On,+,1,38.26,448.22,12:24:57.702,0.16,11.74,12.62,13.90,
On,+,3,37.30,436.12,12:30:09.792,0.15,11.23,12.23,13.84,
On,+,5,37.61,438.34,12:35:16.952,0.15,10.91,12.69,14.01,
On,+,7,37.80,443.70,12:40:28.912,0.16,11.76,12.47,13.57,
On,+,9,39.51,462.80,12:45:57.495,0.13,11.96,13.12,14.43,
On,+,11,38.71,453.87,12:51:01.606,0.12,12.05,12.80,13.86,
On,+,13,37.51,439.36,12:56:15.722,0.13,11.32,12.65,13.54,
On,+,15,38.92,455.49,13:01:18.492,0.13,11.91,12.52,14.49,
On,+,17,38.96,457.11,13:06:32.392,0.15,11.88,13.14,13.94,
On,+,19,38.30,447.80,13:11:29.212,0.13,11.10,13.30,13.90,


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,Notes
On,-,2,39.44,461.69,12:27:38.311,0.16,12.09,13.05,14.30,
On,-,4,41.30,483.10,12:32:49.342,0.16,12.43,13.46,15.41,
On,-,6,40.95,478.42,12:38:01.342,0.17,12.08,13.30,15.57,
On,-,8,41.54,484.82,12:43:09.632,0.15,12.09,13.67,15.78,
On,-,10,41.31,484.18,12:48:26.392,0.16,12.60,13.98,14.73,
On,-,12,40.81,476.96,12:53:47.942,0.16,12.22,13.37,15.22,
On,-,14,41.11,481.03,12:58:56.002,0.15,12.29,13.88,14.94,
On,-,16,41.63,486.92,13:03:59.842,0.15,12.45,13.53,15.65,
On,-,18,40.63,476.37,13:09:07.552,0.15,12.55,13.27,14.81,
On,-,20,41.58,484.53,13:14:02.841,0.16,11.75,14.05,15.78,
