Test Date: 23/04/2024 12:32
Time zone,E. South America Standard Time
Test Date,
Trigger
Requires Trigger,Off
Trigger Channel,
Deceleration
Ignore runs that exceed (g),0.20
Smooth Level,4
Speed Quality
Check,Off
Speed threshold (km/h),0.10
In (s),0.05

Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,Notes
On,+,1,23.75,538.13,15:32:17.472,0.23,4.04,4.02,4.61,5.31,5.77,
On,-,2,24.78,562.36,15:34:35.621,0.20,4.32,4.35,4.61,5.65,5.86,
On,+,3,24.56,556.84,15:37:20.634,0.23,3.80,4.82,4.73,5.49,5.72,
On,-,4,24.11,547.15,15:39:36.144,0.25,4.25,4.33,4.65,5.17,5.70,
On,+,5,24.63,562.13,15:42:19.774,0.26,4.65,4.34,4.87,5.89,4.87,
On,-,6,23.29,533.00,15:44:33.282,0.22,4.57,4.61,4.53,4.67,4.90,
On,+,7,25.33,578.33,15:47:16.216,0.21,4.85,4.62,5.20,5.37,5.30,
On,-,8,25.28,575.62,15:49:29.244,0.22,4.60,4.81,4.74,5.22,5.92,
On,+,9,24.23,550.52,15:52:12.414,0.19,3.93,4.30,5.25,5.42,5.33,
On,-,10,23.66,540.48,15:54:24.958,0.28,4.55,4.59,4.48,4.78,5.26,
On,+,11,26.16,597.32,15:57:05.436,0.29,4.58,4.97,5.77,5.64,5.21,
On,-,12,23.70,537.96,15:59:18.623,0.39,4.01,4.66,4.45,4.73,5.85,
On,+,13,25.21,571.68,16:01:58.037,0.29,3.96,4.54,5.34,5.68,5.69,
On,-,14,23.87,540.12,16:04:10.758,0.33,3.87,4.36,4.47,5.65,5.52,
,,Average,24.47,556.55,15:48:19.901,0.26,4.28,4.52,4.84,5.33,5.49
,,Max,26.16,597.32,16:04:10.758,0.39,4.85,4.97,5.77,5.89,5.92
,,Min,23.29,533.00,15:32:17.472,0.19,3.80,4.02,4.45,4.67,4.87
,,Std Dev,0.82,18.99,00:10:18.651,0.06,0.35,0.25,0.40,0.38,0.35


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,Notes
On,+,1,23.75,538.13,15:32:17.472,0.23,4.04,4.02,4.61,5.31,5.77,
On,+,3,24.56,556.84,15:37:20.634,0.23,3.80,4.82,4.73,5.49,5.72,
On,+,5,24.63,562.13,15:42:19.774,0.26,4.65,4.34,4.87,5.89,4.87,
On,+,7,25.33,578.33,15:47:16.216,0.21,4.85,4.62,5.20,5.37,5.30,
On,+,9,24.23,550.52,15:52:12.414,0.19,3.93,4.30,5.25,5.42,5.33,
On,+,11,26.16,597.32,15:57:05.436,0.29,4.58,4.97,5.77,5.64,5.21,
On,+,13,25.21,571.68,16:01:58.037,0.29,3.96,4.54,5.34,5.68,5.69,


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,Notes
On,-,2,24.78,562.36,15:34:35.621,0.20,4.32,4.35,4.61,5.65,5.86,
On,-,4,24.11,547.15,15:39:36.144,0.25,4.25,4.33,4.65,5.17,5.70,
On,-,6,23.29,533.00,15:44:33.282,0.22,4.57,4.61,4.53,4.67,4.90,
On,-,8,25.28,575.62,15:49:29.244,0.22,4.60,4.81,4.74,5.22,5.92,
On,-,10,23.66,540.48,15:54:24.958,0.28,4.55,4.59,4.48,4.78,5.26,
On,-,12,23.70,537.96,15:59:18.623,0.39,4.01,4.66,4.45,4.73,5.85,
On,-,14,23.87,540.12,16:04:10.758,0.33,3.87,4.36,4.47,5.65,5.52,
