Test Date: 16/01/2026 13:56
Time zone,E. South America Standard Time
Test Date,
Trigger
Requires Trigger,Off
Trigger Channel,
Deceleration
Ignore runs that exceed (g),0.35
Smooth Level,4
Speed Quality
Check,Off
Speed threshold (km/h),0.10
In (s),0.05

Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,,,,,,Notes
On,+,1,35.46,806.15,17:01:10.614,0.13,6.30,6.53,7.30,7.24,8.09,,,,,,
On,-,2,41.08,933.67,17:03:14.974,0.09,7.25,7.45,7.87,9.72,8.79,,,,,,
On,+,3,67.44,775.84,17:05:24.092,0.13,,,,,,10.84,11.39,14.35,14.97,15.89,
On,-,4,74.86,865.51,17:08:32.012,0.12,,,,,,12.53,13.78,14.64,16.76,17.15,
On,+,5,35.65,805.29,17:11:50.142,0.13,5.46,6.20,7.39,7.35,9.25,,,,,,
On,-,6,39.42,894.22,17:14:04.814,0.10,6.77,7.29,7.48,8.41,9.47,,,,,,
On,+,7,70.51,814.00,17:16:04.622,0.15,,,,,,12.23,12.39,13.99,14.48,17.42,
On,-,8,76.78,889.87,17:18:57.391,0.16,,,,,,13.04,13.80,15.82,16.48,17.64,
On,+,9,34.49,783.76,17:21:40.232,0.13,6.10,6.20,7.04,7.35,7.80,,,,,,
On,-,10,37.84,859.29,17:23:36.855,0.01,6.43,7.14,7.43,8.35,8.49,,,,,,
On,+,11,69.65,802.84,17:25:47.692,0.16,,,,,,11.15,12.70,13.95,15.58,16.27,
On,-,12,71.82,828.90,17:28:53.332,0.16,,,,,,11.59,12.89,14.99,15.28,17.07,
On,+,13,35.56,806.48,17:31:30.397,0.13,5.91,6.61,7.04,7.76,8.24,,,,,,
On,-,14,38.05,864.60,17:33:33.784,0.09,6.58,7.06,7.58,8.31,8.52,,,,,,
On,+,15,71.32,819.60,17:35:38.922,0.15,,,,,,12.15,11.89,14.15,15.20,17.93,
On,-,16,71.96,833.18,17:38:42.392,0.17,,,,,,12.29,13.10,14.18,15.82,16.57,
On,+,17,38.34,870.35,17:41:30.894,0.13,6.40,6.67,8.33,8.18,8.76,,,,,,
On,-,18,34.83,789.30,17:43:31.644,0.11,5.73,6.29,7.00,7.53,8.28,,,,,,
On,+,19,71.58,830.10,17:45:39.291,0.15,,,,,,12.28,13.51,14.06,15.16,16.57,
On,-,20,66.64,767.62,17:48:30.162,0.16,,,,,,10.77,11.83,13.39,14.95,15.70,
,,Average,54.16,832.03,17:24:53.713,0.13,6.29,6.74,7.45,8.02,8.57,11.89,12.73,14.35,15.47,16.82
,,Max,76.78,933.67,17:48:30.162,0.17,7.25,7.45,8.33,9.72,9.47,13.04,13.80,15.82,16.76,17.93
,,Min,34.49,767.62,17:01:10.614,0.01,5.46,6.20,7.00,7.24,7.80,10.77,11.39,13.39,14.48,15.70
,,Std Dev,17.73,44.00,00:14:46.213,0.04,0.52,0.46,0.41,0.75,0.51,0.76,0.85,0.67,0.71,0.74


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,,,,,,Notes
On,+,1,35.46,806.15,17:01:10.614,0.13,6.30,6.53,7.30,7.24,8.09,,,,,,
On,+,3,67.44,775.84,17:05:24.092,0.13,,,,,,10.84,11.39,14.35,14.97,15.89,
On,+,5,35.65,805.29,17:11:50.142,0.13,5.46,6.20,7.39,7.35,9.25,,,,,,
On,+,7,70.51,814.00,17:16:04.622,0.15,,,,,,12.23,12.39,13.99,14.48,17.42,
On,+,9,34.49,783.76,17:21:40.232,0.13,6.10,6.20,7.04,7.35,7.80,,,,,,
On,+,11,69.65,802.84,17:25:47.692,0.16,,,,,,11.15,12.70,13.95,15.58,16.27,
On,+,13,35.56,806.48,17:31:30.397,0.13,5.91,6.61,7.04,7.76,8.24,,,,,,
On,+,15,71.32,819.60,17:35:38.922,0.15,,,,,,12.15,11.89,14.15,15.20,17.93,
On,+,17,38.34,870.35,17:41:30.894,0.13,6.40,6.67,8.33,8.18,8.76,,,,,,
On,+,19,71.58,830.10,17:45:39.291,0.15,,,,,,12.28,13.51,14.06,15.16,16.57,


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,,,,,,Notes
On,-,2,41.08,933.67,17:03:14.974,0.09,7.25,7.45,7.87,9.72,8.79,,,,,,
On,-,4,74.86,865.51,17:08:32.012,0.12,,,,,,12.53,13.78,14.64,16.76,17.15,
On,-,6,39.42,894.22,17:14:04.814,0.10,6.77,7.29,7.48,8.41,9.47,,,,,,
On,-,8,76.78,889.87,17:18:57.391,0.16,,,,,,13.04,13.80,15.82,16.48,17.64,
On,-,10,37.84,859.29,17:23:36.855,0.01,6.43,7.14,7.43,8.35,8.49,,,,,,
On,-,12,71.82,828.90,17:28:53.332,0.16,,,,,,11.59,12.89,14.99,15.28,17.07,
On,-,14,38.05,864.60,17:33:33.784,0.09,6.58,7.06,7.58,8.31,8.52,,,,,,
On,-,16,71.96,833.18,17:38:42.392,0.17,,,,,,12.29,13.10,14.18,15.82,16.57,
On,-,18,34.83,789.30,17:43:31.644,0.11,5.73,6.29,7.00,7.53,8.28,,,,,,
On,-,20,66.64,767.62,17:48:30.162,0.16,,,,,,10.77,11.83,13.39,14.95,15.70,
