Test Date: 30/07/2026 16:03
Time zone,E. South America Standard Time
Test Date,30-Jul-2026
Trigger
Requires Trigger,Off
Trigger Channel,
Deceleration
Ignore runs that exceed (g),0.25
Smooth Level,4
Speed Quality
Check,Off
Speed threshold (km/h),0.10
In (s),0.05

Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),Direction,Deviation Angle (Degrees),Satellites (At End),,,,,,,Notes
On,+,1,24.43,538.24,19:12:07.262,0.44,1,0.0,14,5.20,5.62,6.46,7.15,,,
On,-,2,19.82,437.26,19:13:15.408,0.15,2,180.0,16,4.34,4.48,5.33,5.67,,,
On,+,3,24.05,266.34,19:14:51.013,0.39,1,0.2,14,,,,,11.48,12.57,
On,-,4,19.03,210.75,19:16:30.722,0.12,2,179.9,16,,,,,8.86,10.17,
On,+,5,24.92,549.13,19:17:52.447,0.41,1,0.2,14,5.21,5.81,6.81,7.09,,,
On,-,6,19.21,423.55,19:18:58.507,0.17,2,180.0,16,4.22,4.41,5.06,5.52,,,
On,+,7,23.61,261.82,19:20:29.491,0.36,1,0.3,15,,,,,10.78,12.84,
On,-,8,19.23,212.93,19:22:08.322,0.12,2,179.7,17,,,,,9.04,10.19,
On,+,9,24.70,544.83,19:23:20.492,0.30,1,0.1,15,5.37,5.95,6.31,7.07,,,
On,-,10,19.31,425.98,19:24:24.707,0.15,2,179.8,17,4.14,4.59,5.02,5.55,,,
On,+,11,23.56,261.03,19:25:53.202,0.43,1,0.2,15,,,,,11.24,12.32,
On,-,12,19.65,217.58,19:27:28.442,0.14,2,179.9,18,,,,,9.29,10.36,
On,+,13,24.08,530.65,19:30:56.655,0.41,1,0.3,17,5.22,5.54,6.18,7.15,,,
On,-,14,19.85,438.11,19:32:02.757,0.16,2,179.7,18,4.34,4.64,5.27,5.61,,,
On,+,15,25.10,277.56,19:33:33.466,0.41,1,0.5,16,,,,,11.71,13.39,
On,-,16,20.00,221.31,19:35:14.166,0.14,2,179.8,18,,,,,9.39,10.61,
On,+,17,23.73,523.93,19:36:27.305,0.24,1,0.1,16,5.20,5.59,6.37,6.57,,,
On,-,18,20.08,443.09,19:37:32.284,0.16,2,180.0,18,4.39,4.86,5.18,5.66,,,
On,+,19,23.35,258.65,19:38:58.752,0.54,1,0.0,15,,,,,11.11,12.24,
On,-,20,19.90,220.42,19:40:36.712,0.13,2,179.9,18,,,,,9.48,10.42,
On,+,21,23.40,516.59,19:42:12.074,0.33,1,0.2,16,5.06,5.35,6.50,6.48,,,
On,-,22,19.28,425.50,19:43:17.432,0.15,2,179.8,18,4.27,4.63,4.94,5.44,,,
On,+,23,23.83,263.41,19:44:42.961,0.40,1,0.2,16,,,,,11.13,12.70,
On,-,24,19.94,220.68,19:46:21.882,0.11,2,180.0,18,,,,,9.22,10.72,
On,+,25,23.69,522.79,19:47:38.251,0.28,1,0.1,17,5.12,5.54,6.39,6.64,,,
On,-,26,20.36,449.36,19:48:43.927,0.16,2,179.9,17,4.58,4.72,5.34,5.72,,,
On,+,27,23.46,259.90,19:50:11.742,0.53,1,0.0,16,,,,,10.28,13.18,
On,-,28,20.27,224.27,19:51:48.351,0.14,2,180.0,17,,,,,9.56,10.71,
On,+,29,23.27,513.50,19:53:03.495,0.33,1,0.2,16,5.02,5.74,5.96,6.56,,,
On,-,30,20.10,443.93,19:54:08.294,0.16,2,179.9,17,4.49,4.79,5.10,5.72,,,
On,+,31,23.23,257.14,19:55:34.021,0.44,1,0.4,16,,,,,10.62,12.62,
On,-,32,20.47,227.04,19:57:16.491,0.16,2,179.9,17,,,,,9.88,10.59,
On,+,33,23.37,516.45,19:58:30.146,0.59,1,0.1,16,5.11,5.90,5.95,6.41,,,
On,-,34,19.75,435.71,19:59:37.557,0.20,2,179.9,17,4.29,4.72,4.99,5.75,,,
On,+,35,23.41,259.21,20:01:02.642,0.42,1,0.2,16,,,,,11.12,12.29,
On,-,36,19.99,221.03,20:02:38.476,0.13,2,179.9,17,,,,,9.49,10.51,
On,+,37,23.29,514.37,20:04:00.514,0.40,1,0.2,16,5.17,5.62,5.92,6.57,,,
On,-,38,19.94,439.86,20:05:05.598,0.15,2,179.9,17,4.42,4.71,5.11,5.70,,,
On,+,39,22.82,252.92,20:06:32.136,0.28,1,0.1,17,,,,,10.82,12.00,
On,-,40,20.30,224.78,20:08:14.257,0.11,2,180.0,19,,,,,9.66,10.64,
,,Average,21.80,361.29,19:40:35.059,0.27,,90.0,16,4.76,5.16,5.71,6.20,10.21,11.55
,,Max,25.10,549.13,20:08:14.257,0.59,,180.0,19,5.37,5.95,6.81,7.15,11.71,13.39
,,Min,19.03,210.75,19:12:07.262,0.11,,0.0,14,4.14,4.41,4.94,5.44,8.86,10.17
,,Std Dev,2.06,127.31,00:16:54.890,0.14,,91.0,1,0.44,0.54,0.63,0.62,0.91,1.14


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),Direction,Deviation Angle (Degrees),Satellites (At End),,,,,,,Notes
On,+,1,24.43,538.24,19:12:07.262,0.44,1,0.0,14,5.20,5.62,6.46,7.15,,,
On,+,3,24.05,266.34,19:14:51.013,0.39,1,0.2,14,,,,,11.48,12.57,
On,+,5,24.92,549.13,19:17:52.447,0.41,1,0.2,14,5.21,5.81,6.81,7.09,,,
On,+,7,23.61,261.82,19:20:29.491,0.36,1,0.3,15,,,,,10.78,12.84,
On,+,9,24.70,544.83,19:23:20.492,0.30,1,0.1,15,5.37,5.95,6.31,7.07,,,
On,+,11,23.56,261.03,19:25:53.202,0.43,1,0.2,15,,,,,11.24,12.32,
On,+,13,24.08,530.65,19:30:56.655,0.41,1,0.3,17,5.22,5.54,6.18,7.15,,,
On,+,15,25.10,277.56,19:33:33.466,0.41,1,0.5,16,,,,,11.71,13.39,
On,+,17,23.73,523.93,19:36:27.305,0.24,1,0.1,16,5.20,5.59,6.37,6.57,,,
On,+,19,23.35,258.65,19:38:58.752,0.54,1,0.0,15,,,,,11.11,12.24,
On,+,21,23.40,516.59,19:42:12.074,0.33,1,0.2,16,5.06,5.35,6.50,6.48,,,
On,+,23,23.83,263.41,19:44:42.961,0.40,1,0.2,16,,,,,11.13,12.70,
On,+,25,23.69,522.79,19:47:38.251,0.28,1,0.1,17,5.12,5.54,6.39,6.64,,,
On,+,27,23.46,259.90,19:50:11.742,0.53,1,0.0,16,,,,,10.28,13.18,
On,+,29,23.27,513.50,19:53:03.495,0.33,1,0.2,16,5.02,5.74,5.96,6.56,,,
On,+,31,23.23,257.14,19:55:34.021,0.44,1,0.4,16,,,,,10.62,12.62,
On,+,33,23.37,516.45,19:58:30.146,0.59,1,0.1,16,5.11,5.90,5.95,6.41,,,
On,+,35,23.41,259.21,20:01:02.642,0.42,1,0.2,16,,,,,11.12,12.29,
On,+,37,23.29,514.37,20:04:00.514,0.40,1,0.2,16,5.17,5.62,5.92,6.57,,,
On,+,39,22.82,252.92,20:06:32.136,0.28,1,0.1,17,,,,,10.82,12.00,


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),Direction,Deviation Angle (Degrees),Satellites (At End),,,,,,,Notes
On,-,2,19.82,437.26,19:13:15.408,0.15,2,180.0,16,4.34,4.48,5.33,5.67,,,
On,-,4,19.03,210.75,19:16:30.722,0.12,2,179.9,16,,,,,8.86,10.17,
On,-,6,19.21,423.55,19:18:58.507,0.17,2,180.0,16,4.22,4.41,5.06,5.52,,,
On,-,8,19.23,212.93,19:22:08.322,0.12,2,179.7,17,,,,,9.04,10.19,
On,-,10,19.31,425.98,19:24:24.707,0.15,2,179.8,17,4.14,4.59,5.02,5.55,,,
On,-,12,19.65,217.58,19:27:28.442,0.14,2,179.9,18,,,,,9.29,10.36,
On,-,14,19.85,438.11,19:32:02.757,0.16,2,179.7,18,4.34,4.64,5.27,5.61,,,
On,-,16,20.00,221.31,19:35:14.166,0.14,2,179.8,18,,,,,9.39,10.61,
On,-,18,20.08,443.09,19:37:32.284,0.16,2,180.0,18,4.39,4.86,5.18,5.66,,,
On,-,20,19.90,220.42,19:40:36.712,0.13,2,179.9,18,,,,,9.48,10.42,
On,-,22,19.28,425.50,19:43:17.432,0.15,2,179.8,18,4.27,4.63,4.94,5.44,,,
On,-,24,19.94,220.68,19:46:21.882,0.11,2,180.0,18,,,,,9.22,10.72,
On,-,26,20.36,449.36,19:48:43.927,0.16,2,179.9,17,4.58,4.72,5.34,5.72,,,
On,-,28,20.27,224.27,19:51:48.351,0.14,2,180.0,17,,,,,9.56,10.71,
On,-,30,20.10,443.93,19:54:08.294,0.16,2,179.9,17,4.49,4.79,5.10,5.72,,,
On,-,32,20.47,227.04,19:57:16.491,0.16,2,179.9,17,,,,,9.88,10.59,
