Test Date: 22/04/2024 13:03
Time zone,E. South America Standard Time
Test Date,
Trigger
Requires Trigger,Off
Trigger Channel,
Deceleration
Ignore runs that exceed (g),0.20
Smooth Level,4
Speed Quality
Check,Off
Speed threshold (km/h),0.10
In (s),0.05

Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,Notes
On,+,1,25.53,575.54,16:01:48.317,0.78,4.04,4.27,4.27,6.15,6.80,
On,-,2,27.29,618.88,16:02:48.354,0.30,4.46,5.19,5.11,6.11,6.42,
On,+,3,26.00,586.37,16:03:51.667,0.82,3.94,4.44,5.16,5.91,6.55,
On,-,4,27.52,626.04,16:04:55.139,0.30,4.80,5.21,5.38,5.98,6.16,
On,+,5,26.09,589.59,16:05:52.654,0.90,4.04,4.72,4.18,6.66,6.49,
On,-,6,29.04,660.90,16:06:54.634,0.46,5.16,5.51,5.61,5.98,6.77,
On,+,7,25.52,577.09,16:07:56.245,1.08,4.07,4.53,4.99,5.62,6.31,
On,-,8,29.31,666.30,16:08:58.402,0.32,5.08,5.57,5.79,6.02,6.84,
On,+,9,23.57,533.83,16:09:57.492,0.79,3.86,4.14,4.79,5.02,5.76,
On,-,10,27.91,630.78,16:10:57.474,0.31,4.47,4.79,5.40,6.32,6.94,
On,+,11,23.75,537.05,16:11:57.871,1.12,3.76,4.29,3.78,6.10,5.83,
On,-,12,28.00,634.68,16:13:01.467,0.31,4.64,5.01,5.63,5.95,6.77,
On,+,13,24.04,543.56,16:13:59.836,0.82,3.87,4.13,5.04,4.99,6.02,
On,-,14,27.25,617.11,16:14:58.832,0.27,4.44,4.81,5.37,6.25,6.39,
On,+,15,24.69,557.26,16:16:00.918,0.59,3.85,4.29,4.89,5.10,6.56,
On,-,16,26.74,605.02,16:17:00.365,0.35,4.53,4.65,5.08,5.75,6.74,
On,+,17,25.45,574.06,16:18:02.311,1.10,3.90,4.29,5.13,5.59,6.53,
On,-,18,26.57,598.92,16:19:04.974,0.28,3.82,4.81,5.19,5.72,7.03,
On,+,19,26.10,591.05,16:20:03.032,1.00,4.09,5.08,5.03,5.50,6.41,
On,-,20,26.50,600.38,16:21:05.984,0.22,4.23,4.80,5.33,6.18,5.96,
,,Average,26.34,596.22,16:11:27.798,0.61,4.25,4.73,5.06,5.85,6.46
,,Max,29.31,666.30,16:21:05.984,1.12,5.16,5.57,5.79,6.66,7.03
,,Min,23.57,533.83,16:01:48.317,0.22,3.76,4.13,3.78,4.99,5.76
,,Std Dev,1.61,37.59,00:05:59.670,0.33,0.43,0.44,0.50,0.44,0.37


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,Notes
On,+,1,25.53,575.54,16:01:48.317,0.78,4.04,4.27,4.27,6.15,6.80,
On,+,3,26.00,586.37,16:03:51.667,0.82,3.94,4.44,5.16,5.91,6.55,
On,+,5,26.09,589.59,16:05:52.654,0.90,4.04,4.72,4.18,6.66,6.49,
On,+,7,25.52,577.09,16:07:56.245,1.08,4.07,4.53,4.99,5.62,6.31,
On,+,9,23.57,533.83,16:09:57.492,0.79,3.86,4.14,4.79,5.02,5.76,
On,+,11,23.75,537.05,16:11:57.871,1.12,3.76,4.29,3.78,6.10,5.83,
On,+,13,24.04,543.56,16:13:59.836,0.82,3.87,4.13,5.04,4.99,6.02,
On,+,15,24.69,557.26,16:16:00.918,0.59,3.85,4.29,4.89,5.10,6.56,
On,+,17,25.45,574.06,16:18:02.311,1.10,3.90,4.29,5.13,5.59,6.53,
On,+,19,26.10,591.05,16:20:03.032,1.00,4.09,5.08,5.03,5.50,6.41,


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,Notes
On,-,2,27.29,618.88,16:02:48.354,0.30,4.46,5.19,5.11,6.11,6.42,
On,-,4,27.52,626.04,16:04:55.139,0.30,4.80,5.21,5.38,5.98,6.16,
On,-,6,29.04,660.90,16:06:54.634,0.46,5.16,5.51,5.61,5.98,6.77,
On,-,8,29.31,666.30,16:08:58.402,0.32,5.08,5.57,5.79,6.02,6.84,
On,-,10,27.91,630.78,16:10:57.474,0.31,4.47,4.79,5.40,6.32,6.94,
On,-,12,28.00,634.68,16:13:01.467,0.31,4.64,5.01,5.63,5.95,6.77,
On,-,14,27.25,617.11,16:14:58.832,0.27,4.44,4.81,5.37,6.25,6.39,
On,-,16,26.74,605.02,16:17:00.365,0.35,4.53,4.65,5.08,5.75,6.74,
On,-,18,26.57,598.92,16:19:04.974,0.28,3.82,4.81,5.19,5.72,7.03,
On,-,20,26.50,600.38,16:21:05.984,0.22,4.23,4.80,5.33,6.18,5.96,
