Test Date: 22/04/2024 13:38
Time zone,E. South America Standard Time
Test Date,
Trigger
Requires Trigger,Off
Trigger Channel,
Deceleration
Ignore runs that exceed (g),0.20
Smooth Level,4
Speed Quality
Check,Off
Speed threshold (km/h),0.10
In (s),0.05

Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,Notes
On,+,1,31.72,371.91,16:37:11.391,0.57,9.53,10.77,11.42,
On,-,2,35.16,410.97,16:38:45.351,0.17,10.41,11.50,13.26,
On,+,3,32.50,380.50,16:40:19.372,0.47,9.66,10.73,12.10,
On,-,4,33.83,393.42,16:41:56.552,0.26,9.29,10.79,13.76,
On,+,5,33.46,391.72,16:43:31.327,0.48,9.91,11.39,12.16,
On,-,6,35.25,411.75,16:45:08.571,0.25,10.13,11.91,13.21,
On,+,7,30.55,360.36,16:46:44.431,0.50,8.95,11.14,10.47,
On,-,8,38.48,449.90,16:48:19.562,0.35,10.93,13.52,14.03,
On,+,9,28.27,330.61,16:49:46.063,0.56,8.12,9.86,10.29,
On,-,10,37.21,432.36,16:51:20.551,0.25,10.03,12.21,14.96,
On,+,11,29.15,341.15,16:52:55.232,0.77,8.48,9.75,10.91,
On,-,12,38.44,449.63,16:54:35.071,0.16,11.22,13.01,14.21,
On,+,13,29.47,346.64,16:56:05.872,0.37,9.22,9.49,10.77,
On,-,14,35.48,412.92,16:57:36.233,0.24,9.85,11.38,14.24,
On,+,15,30.46,354.32,16:59:09.581,0.43,8.65,9.18,12.62,
On,-,16,34.55,403.02,17:00:48.991,0.21,9.74,11.50,13.31,
On,+,17,27.44,321.27,17:02:18.451,0.58,7.76,9.52,10.16,
On,-,18,36.91,430.01,17:03:49.734,0.19,10.15,12.72,14.05,
On,+,19,29.42,342.90,17:05:20.276,0.46,8.09,9.71,11.61,
On,-,20,35.66,415.75,17:06:49.831,0.21,10.53,11.16,13.97,
,,Average,33.17,387.56,16:52:07.622,0.37,9.53,11.06,12.57
,,Max,38.48,449.90,17:06:49.831,0.77,11.22,13.52,14.96
,,Min,27.44,321.27,16:37:11.391,0.16,7.76,9.18,10.16
,,Std Dev,3.45,39.74,00:09:15.076,0.17,0.96,1.23,1.53


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,Notes
On,+,1,31.72,371.91,16:37:11.391,0.57,9.53,10.77,11.42,
On,+,3,32.50,380.50,16:40:19.372,0.47,9.66,10.73,12.10,
On,+,5,33.46,391.72,16:43:31.327,0.48,9.91,11.39,12.16,
On,+,7,30.55,360.36,16:46:44.431,0.50,8.95,11.14,10.47,
On,+,9,28.27,330.61,16:49:46.063,0.56,8.12,9.86,10.29,
On,+,11,29.15,341.15,16:52:55.232,0.77,8.48,9.75,10.91,
On,+,13,29.47,346.64,16:56:05.872,0.37,9.22,9.49,10.77,
On,+,15,30.46,354.32,16:59:09.581,0.43,8.65,9.18,12.62,
On,+,17,27.44,321.27,17:02:18.451,0.58,7.76,9.52,10.16,
On,+,19,29.42,342.90,17:05:20.276,0.46,8.09,9.71,11.61,


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,Notes
On,-,2,35.16,410.97,16:38:45.351,0.17,10.41,11.50,13.26,
On,-,4,33.83,393.42,16:41:56.552,0.26,9.29,10.79,13.76,
On,-,6,35.25,411.75,16:45:08.571,0.25,10.13,11.91,13.21,
On,-,8,38.48,449.90,16:48:19.562,0.35,10.93,13.52,14.03,
On,-,10,37.21,432.36,16:51:20.551,0.25,10.03,12.21,14.96,
On,-,12,38.44,449.63,16:54:35.071,0.16,11.22,13.01,14.21,
On,-,14,35.48,412.92,16:57:36.233,0.24,9.85,11.38,14.24,
On,-,16,34.55,403.02,17:00:48.991,0.21,9.74,11.50,13.31,
On,-,18,36.91,430.01,17:03:49.734,0.19,10.15,12.72,14.05,
On,-,20,35.66,415.75,17:06:49.831,0.21,10.53,11.16,13.97,
