Test Date: 22/04/2024 15:49
Time zone,E. South America Standard Time
Test Date,
Trigger
Requires Trigger,Off
Trigger Channel,
Deceleration
Ignore runs that exceed (g),0.20
Smooth Level,4
Speed Quality
Check,Off
Speed threshold (km/h),0.10
In (s),0.05

Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,Notes
On,+,1,24.39,554.45,18:47:17.147,0.49,4.23,4.56,4.81,5.12,5.67,
On,-,2,30.32,687.72,18:48:20.947,0.16,5.21,5.46,5.95,6.47,7.23,
On,+,3,23.43,532.75,18:49:19.541,0.48,4.08,4.35,4.80,4.77,5.43,
On,-,4,30.78,696.27,18:50:17.592,0.19,4.76,5.49,6.14,7.05,7.35,
On,+,5,23.45,531.82,18:51:13.635,0.64,4.05,4.28,4.47,4.88,5.78,
On,-,6,29.57,667.93,18:52:17.604,0.19,4.59,5.23,5.82,6.46,7.47,
On,+,7,23.20,526.85,18:53:15.912,0.30,3.96,4.36,4.67,4.67,5.53,
On,-,8,29.98,677.26,18:54:18.892,0.17,4.70,5.18,5.87,6.89,7.33,
On,+,9,23.77,539.78,18:55:15.495,0.48,4.33,4.14,4.40,5.24,5.65,
On,-,10,28.92,652.62,18:56:19.858,0.19,4.43,4.96,5.87,6.32,7.34,
On,+,11,25.03,565.06,18:57:18.804,0.40,3.99,4.13,4.89,5.75,6.28,
On,-,12,28.30,641.93,18:58:19.121,0.19,4.98,5.03,5.43,6.04,6.83,
On,+,13,24.78,562.04,18:59:18.972,0.44,4.15,4.40,5.14,5.37,5.72,
On,-,14,28.96,657.77,19:00:15.472,0.18,4.83,5.33,5.79,6.57,6.44,
On,+,15,24.72,561.06,19:01:20.252,0.53,4.22,4.56,4.81,5.18,5.95,
On,-,16,29.11,658.96,19:02:22.637,0.15,4.69,5.28,5.79,6.39,6.97,
On,+,17,24.48,554.43,19:03:22.158,0.33,4.07,4.43,4.73,5.37,5.88,
On,-,18,29.21,660.21,19:04:26.798,0.19,4.71,5.09,5.64,6.38,7.39,
On,+,19,24.35,552.43,19:05:20.131,0.37,4.11,4.58,4.68,5.11,5.87,
On,-,20,29.10,657.87,19:06:22.594,0.22,4.62,4.91,5.93,6.60,7.04,
,,Average,26.79,606.96,18:56:49.178,0.31,4.44,4.79,5.28,5.83,6.46
,,Max,30.78,696.27,19:06:22.594,0.64,5.21,5.49,6.14,7.05,7.47
,,Min,23.20,526.85,18:47:17.147,0.15,3.96,4.13,4.40,4.67,5.43
,,Std Dev,2.78,62.25,00:05:56.699,0.15,0.37,0.45,0.59,0.76,0.75


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,Notes
On,+,1,24.39,554.45,18:47:17.147,0.49,4.23,4.56,4.81,5.12,5.67,
On,+,3,23.43,532.75,18:49:19.541,0.48,4.08,4.35,4.80,4.77,5.43,
On,+,5,23.45,531.82,18:51:13.635,0.64,4.05,4.28,4.47,4.88,5.78,
On,+,7,23.20,526.85,18:53:15.912,0.30,3.96,4.36,4.67,4.67,5.53,
On,+,9,23.77,539.78,18:55:15.495,0.48,4.33,4.14,4.40,5.24,5.65,
On,+,11,25.03,565.06,18:57:18.804,0.40,3.99,4.13,4.89,5.75,6.28,
On,+,13,24.78,562.04,18:59:18.972,0.44,4.15,4.40,5.14,5.37,5.72,
On,+,15,24.72,561.06,19:01:20.252,0.53,4.22,4.56,4.81,5.18,5.95,
On,+,17,24.48,554.43,19:03:22.158,0.33,4.07,4.43,4.73,5.37,5.88,
On,+,19,24.35,552.43,19:05:20.131,0.37,4.11,4.58,4.68,5.11,5.87,


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,Notes
On,-,2,30.32,687.72,18:48:20.947,0.16,5.21,5.46,5.95,6.47,7.23,
On,-,4,30.78,696.27,18:50:17.592,0.19,4.76,5.49,6.14,7.05,7.35,
On,-,6,29.57,667.93,18:52:17.604,0.19,4.59,5.23,5.82,6.46,7.47,
On,-,8,29.98,677.26,18:54:18.892,0.17,4.70,5.18,5.87,6.89,7.33,
On,-,10,28.92,652.62,18:56:19.858,0.19,4.43,4.96,5.87,6.32,7.34,
On,-,12,28.30,641.93,18:58:19.121,0.19,4.98,5.03,5.43,6.04,6.83,
On,-,14,28.96,657.77,19:00:15.472,0.18,4.83,5.33,5.79,6.57,6.44,
On,-,16,29.11,658.96,19:02:22.637,0.15,4.69,5.28,5.79,6.39,6.97,
On,-,18,29.21,660.21,19:04:26.798,0.19,4.71,5.09,5.64,6.38,7.39,
On,-,20,29.10,657.87,19:06:22.594,0.22,4.62,4.91,5.93,6.60,7.04,
