Test Date: 22/04/2024 16:13
Time zone,E. South America Standard Time
Test Date,
Trigger
Requires Trigger,Off
Trigger Channel,
Deceleration
Ignore runs that exceed (g),0.20
Smooth Level,4
Speed Quality
Check,Off
Speed threshold (km/h),0.10
In (s),0.05

Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,Notes
On,+,1,31.03,363.38,19:11:43.024,0.33,9.16,10.42,11.46,
On,-,2,36.91,430.76,19:13:21.362,0.12,10.63,12.31,13.97,
On,+,3,29.37,343.85,19:15:00.912,0.30,8.86,9.44,11.07,
On,-,4,37.87,440.69,19:16:47.206,0.11,10.46,12.87,14.54,
On,+,5,30.86,361.41,19:18:22.321,0.43,9.36,10.18,11.32,
On,-,6,36.65,427.19,19:20:05.586,0.13,10.43,12.25,13.97,
On,+,7,31.68,370.22,19:21:45.867,0.28,9.16,10.96,11.56,
On,-,8,35.69,417.59,19:23:27.904,0.09,10.37,12.42,12.89,
On,+,9,31.85,373.50,19:25:04.592,0.26,9.50,10.95,11.40,
On,-,10,35.33,413.20,19:26:46.696,0.11,10.45,11.81,13.08,
On,+,11,32.14,376.90,19:28:27.621,0.39,9.86,10.75,11.53,
On,-,12,35.20,412.30,19:30:25.254,0.30,10.31,12.32,12.56,
On,+,13,32.56,380.13,19:32:03.596,0.32,9.29,11.14,12.13,
On,-,14,35.15,411.62,19:34:05.632,0.11,10.56,11.76,12.83,
On,+,15,31.73,370.80,19:35:45.821,0.44,9.48,9.82,12.43,
On,-,16,35.82,418.23,19:37:28.381,0.09,10.25,12.37,13.20,
On,+,17,32.67,381.58,19:39:03.922,0.42,9.45,10.87,12.35,
On,-,18,34.67,404.36,19:40:47.372,0.10,9.97,11.55,13.15,
On,+,19,31.73,371.70,19:42:26.994,0.46,9.65,10.53,11.55,
On,-,20,35.60,416.35,19:44:04.382,0.12,10.48,11.91,13.21,
,,Average,33.73,394.29,19:27:51.222,0.25,9.88,11.33,12.51
,,Max,37.87,440.69,19:44:04.382,0.46,10.63,12.87,14.54
,,Min,29.37,343.85,19:11:43.024,0.09,8.86,9.44,11.07
,,Std Dev,2.41,27.69,00:10:09.564,0.14,0.57,0.97,1.00


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,Notes
On,+,1,31.03,363.38,19:11:43.024,0.33,9.16,10.42,11.46,
On,+,3,29.37,343.85,19:15:00.912,0.30,8.86,9.44,11.07,
On,+,5,30.86,361.41,19:18:22.321,0.43,9.36,10.18,11.32,
On,+,7,31.68,370.22,19:21:45.867,0.28,9.16,10.96,11.56,
On,+,9,31.85,373.50,19:25:04.592,0.26,9.50,10.95,11.40,
On,+,11,32.14,376.90,19:28:27.621,0.39,9.86,10.75,11.53,
On,+,13,32.56,380.13,19:32:03.596,0.32,9.29,11.14,12.13,
On,+,15,31.73,370.80,19:35:45.821,0.44,9.48,9.82,12.43,
On,+,17,32.67,381.58,19:39:03.922,0.42,9.45,10.87,12.35,
On,+,19,31.73,371.70,19:42:26.994,0.46,9.65,10.53,11.55,


Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,Notes
On,-,2,36.91,430.76,19:13:21.362,0.12,10.63,12.31,13.97,
On,-,4,37.87,440.69,19:16:47.206,0.11,10.46,12.87,14.54,
On,-,6,36.65,427.19,19:20:05.586,0.13,10.43,12.25,13.97,
On,-,8,35.69,417.59,19:23:27.904,0.09,10.37,12.42,12.89,
On,-,10,35.33,413.20,19:26:46.696,0.11,10.45,11.81,13.08,
On,-,12,35.20,412.30,19:30:25.254,0.30,10.31,12.32,12.56,
On,-,14,35.15,411.62,19:34:05.632,0.11,10.56,11.76,12.83,
On,-,16,35.82,418.23,19:37:28.381,0.09,10.25,12.37,13.20,
On,-,18,34.67,404.36,19:40:47.372,0.10,9.97,11.55,13.15,
On,-,20,35.60,416.35,19:44:04.382,0.12,10.48,11.91,13.21,
