Test Date: 15/05/2025 10:09,,,,,,,,,,,,,,,,,,,,,
Time zone,E. South America Standard Time,,,,,,,,,,,,,,,,,,,,
Test Date,15-May-25,,,,,,,,,,,,,,,,,,,,
Trigger,,,,,,,,,,,,,,,,,,,,,
Requires Trigger,Off,,,,,,,,,,,,,,,,,,,,
Trigger Channel,,,,,,,,,,,,,,,,,,,,,
Deceleration,,,,,,,,,,,,,,,,,,,,,
Ignore runs that exceed (g),0.3,,,,,,,,,,,,,,,,,,,,
Smooth Level,4,,,,,,,,,,,,,,,,,,,,
Speed Quality,,,,,,,,,,,,,,,,,,,,,
Check,Off,,,,,,,,,,,,,,,,,,,,
Speed threshold (km/h),0.1,,,,,,,,,,,,,,,,,,,,
In (s),0.05,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,,,,,,,,,,Notes
On,+,1,62.53,1219.79,11:30.4,2.37,6.11,5.03,4.25,4.72,8.96,6.72,4.45,3.1,3.35,3.4,2.97,4.18,3,2.29,
On,-,2,65.09,1192.77,13:31.2,0.81,8.17,4.49,3.17,3.1,3.6,4.5,6.17,5.91,4.05,4.01,4.1,4.52,4.41,4.9,
On,+,3,62.43,1220.15,15:27.1,1.58,6.09,5.3,4.32,4.79,9.23,6.18,4.36,3.15,3.24,3.34,3.33,3.74,3.17,2.19,
On,-,4,62.33,1129.26,17:30.2,1.14,6.71,4.1,3.11,3.25,3.51,4.75,5.71,5.42,4.09,4.06,4.02,4.3,4.51,4.78,
On,+,5,60.18,1182.33,19:23.2,2.87,6.34,4.57,4.24,5.17,9.46,5.35,3.8,2.67,3.79,3.01,3.26,3.83,2.84,1.84,
On,-,6,63.06,1139.29,22:25.5,0.68,6.56,4.15,2.79,3.61,3.55,4.89,5.89,5.49,3.96,4,4.13,4.58,4.55,4.9,
On,+,7,65.51,1251.01,24:13.7,0.76,4.78,5.92,4.46,4.5,5.5,10.55,5.37,3.95,3.41,3.28,3.11,3.44,3.78,3.47,
On,-,8,60.36,1079.68,28:00.5,1.02,5.27,3.66,3.01,3.51,3.33,5.45,5.75,4.75,3.84,4.06,4.19,4.45,4.35,4.74,
On,+,9,65.7,1284.37,29:48.5,1.22,4.82,6.74,4.89,4.91,7.68,9.31,4.65,3.39,3.13,3.54,3.46,3.62,3.43,2.11,
On,-,10,59.58,1059.92,31:57.7,0.72,4.87,3.67,2.74,3.45,3.31,5.28,5.76,4.9,3.81,4.02,4.05,4.53,4.48,4.71,
,,Average,62.68,1175.86,21:22.8,1.32,5.97,4.76,3.7,4.1,5.81,6.3,5.19,4.27,3.67,3.67,3.66,4.12,3.85,3.59,
,,Max,65.7,1284.37,31:57.7,2.87,8.17,6.74,4.89,5.17,9.46,10.55,6.17,5.91,4.09,4.06,4.19,4.58,4.55,4.9,
,,Min,59.58,1059.92,11:30.4,0.68,4.78,3.66,2.74,3.1,3.31,4.5,3.8,2.67,3.13,3.01,2.97,3.44,2.84,1.84,
,,Std Dev,2.22,72.91,07:04.1,0.75,1.07,1,0.8,0.78,2.71,2.04,0.81,1.16,0.35,0.4,0.48,0.42,0.69,1.35,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,,,,,,,,,,Notes
On,+,1,62.53,1219.79,11:30.4,2.37,6.11,5.03,4.25,4.72,8.96,6.72,4.45,3.1,3.35,3.4,2.97,4.18,3,2.29,
On,+,3,62.43,1220.15,15:27.1,1.58,6.09,5.3,4.32,4.79,9.23,6.18,4.36,3.15,3.24,3.34,3.33,3.74,3.17,2.19,
On,+,5,60.18,1182.33,19:23.2,2.87,6.34,4.57,4.24,5.17,9.46,5.35,3.8,2.67,3.79,3.01,3.26,3.83,2.84,1.84,
On,+,7,65.51,1251.01,24:13.7,0.76,4.78,5.92,4.46,4.5,5.5,10.55,5.37,3.95,3.41,3.28,3.11,3.44,3.78,3.47,
On,+,9,65.7,1284.37,29:48.5,1.22,4.82,6.74,4.89,4.91,7.68,9.31,4.65,3.39,3.13,3.54,3.46,3.62,3.43,2.11,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,,,,,,,,,,Notes
On,-,2,65.09,1192.77,13:31.2,0.81,8.17,4.49,3.17,3.1,3.6,4.5,6.17,5.91,4.05,4.01,4.1,4.52,4.41,4.9,
On,-,4,62.33,1129.26,17:30.2,1.14,6.71,4.1,3.11,3.25,3.51,4.75,5.71,5.42,4.09,4.06,4.02,4.3,4.51,4.78,
On,-,6,63.06,1139.29,22:25.5,0.68,6.56,4.15,2.79,3.61,3.55,4.89,5.89,5.49,3.96,4,4.13,4.58,4.55,4.9,
On,-,8,60.36,1079.68,28:00.5,1.02,5.27,3.66,3.01,3.51,3.33,5.45,5.75,4.75,3.84,4.06,4.19,4.45,4.35,4.74,
On,-,10,59.58,1059.92,31:57.7,0.72,4.87,3.67,2.74,3.45,3.31,5.28,5.76,4.9,3.81,4.02,4.05,4.53,4.48,4.71,
