Test Date: 22/10/2024 00:00,,,,,,,,,,,,,,,,,,,,,
Time zone,E. South America Standard Time,,,,,,,,,,,,,,,,,,,,
Test Date,22-Oct-24,,,,,,,,,,,,,,,,,,,,
Trigger,,,,,,,,,,,,,,,,,,,,,
Requires Trigger,Off,,,,,,,,,,,,,,,,,,,,
Trigger Channel,,,,,,,,,,,,,,,,,,,,,
Deceleration,,,,,,,,,,,,,,,,,,,,,
Ignore runs that exceed (g),2,,,,,,,,,,,,,,,,,,,,
Smooth Level,4,,,,,,,,,,,,,,,,,,,,
Speed Quality,,,,,,,,,,,,,,,,,,,,,
Check,Off,,,,,,,,,,,,,,,,,,,,
Speed threshold (km/h),0.1,,,,,,,,,,,,,,,,,,,,
In (s),0.05,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,,,,,,,,,,Notes
On,+,1,97.33,1600.74,13:22.7,1.23,3.36,4.25,4.43,5.27,5.45,6.44,6.19,6.93,7.43,10.02,10.25,9.58,9.08,8.65,
On,-,2,90.13,1477.88,17:26.0,2.36,3.17,3.78,4.16,4.36,6.24,5.85,6.41,7.22,6.66,6.72,7.29,9.1,9.71,9.47,
On,+,3,98.99,1631.1,35:11.5,0.76,3.66,4.23,4.54,5.4,5.66,6.19,6.74,6.7,9.22,9.83,9.05,8.67,8.62,10.47,
On,-,4,89.85,1466.32,38:49.4,1.92,2.9,3.65,4.34,4.62,5.02,6.28,6.6,7.07,7.35,6.58,7.04,8.14,7.75,12.52,
On,+,5,18.51,425.35,44:55.0,1.64,7.19,4.25,0.89,0.63,0.66,0.52,0.49,0.54,0.54,0.53,0.54,0.51,0.65,0.57,
On,-,6,91.79,1507.76,52:08.0,1.03,3.36,3.78,4.29,4,5.34,7.12,6.76,7.32,7.48,6.85,6.64,8.29,10.55,10.01,
On,+,7,102.75,1683.49,01:56.3,0.79,3.53,4.63,4.62,5.44,5.75,6.34,6.56,7.08,9.66,9.93,9.19,8.97,10.54,10.5,
On,-,8,91.14,1487.63,05:39.8,1.82,3.49,3.71,4.33,4.54,4.14,5.74,7.28,7.89,7.66,6.8,6.93,7.77,9.86,10.99,
On,+,9,102.22,1680.03,09:32.1,0.78,3.45,4.65,4.31,5.47,6.07,6.35,6.92,7.63,9.77,9.75,8.64,8.12,10.03,11.07,
On,-,10,88.3,1438.6,13:09.1,1.84,2.99,3.71,3.73,4.4,4.73,6.66,6.33,6.73,7,7.03,7.72,7.71,8.32,11.23,
,,Average,90.77,1493.05,41:18.4,1.55,3.53,4.1,4.02,4.65,4.59,6.44,6.31,6.7,7.5,8.05,7.82,8.06,9.13,9.85,
,,Max,104.04,1707.66,13:09.1,3.76,7.19,4.65,4.67,5.58,6.24,10.66,7.38,7.89,9.77,11.17,10.98,9.58,11.69,12.52,
,,Min,18.51,425.35,13:22.7,0.76,2.82,3.65,0.89,0.63,0.52,0.52,0.49,0.54,0.54,0.53,0.54,0.51,0.65,0.57,
,,Std Dev,20.77,309.8,19:31.6,0.81,1.05,0.35,0.95,1.23,1.91,2.06,1.65,1.74,2.19,2.7,2.42,2.16,2.58,2.73,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,,,,,,,,,,Notes
On,+,1,97.33,1600.74,13:22.7,1.23,3.36,4.25,4.43,5.27,5.45,6.44,6.19,6.93,7.43,10.02,10.25,9.58,9.08,8.65,
On,+,3,99.86,1627.24,20:37.5,1.06,2.89,4.38,4.41,5.15,5.4,6.52,6.66,6.99,8.05,10.13,10.98,8.96,8.65,10.68,
On,+,5,103.48,1676.3,28:24.7,1.21,2.82,4.03,4.67,4.95,5.52,6.78,7.38,7.06,8.76,11.17,10.07,9.27,9.98,11.02,
On,+,7,98.99,1631.1,35:11.5,0.76,3.66,4.23,4.54,5.4,5.66,6.19,6.74,6.7,9.22,9.83,9.05,8.67,8.62,10.47,
Off,+,9,104.04,1707.66,42:31.8,0.88,3.41,4.6,4.51,5.51,6.17,6.53,7.13,7.45,9.05,11,8.18,8.21,11.69,10.6,
On,+,10,18.51,425.35,44:55.0,1.64,7.19,4.25,0.89,0.63,0.66,0.52,0.49,0.54,0.54,0.53,0.54,0.51,0.65,0.57,
On,+,12,102.75,1683.49,01:56.3,0.79,3.53,4.63,4.62,5.44,5.75,6.34,6.56,7.08,9.66,9.93,9.19,8.97,10.54,10.5,
On,+,14,102.22,1680.03,09:32.1,0.78,3.45,4.65,4.31,5.47,6.07,6.35,6.92,7.63,9.77,9.75,8.64,8.12,10.03,11.07,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),,,,,,,,,,,,,,,Notes
On,-,2,90.13,1477.88,17:26.0,2.36,3.17,3.78,4.16,4.36,6.24,5.85,6.41,7.22,6.66,6.72,7.29,9.1,9.71,9.47,
On,-,4,91.02,1495.35,23:58.4,2.23,3.61,3.95,3.1,5.58,2.18,8.69,6.97,7.24,6.63,7.05,7.18,9.02,10.71,9.1,
On,-,6,92.11,1490.27,31:53.1,3.76,3.19,3.88,4,4.39,0.52,10.66,6.28,6.61,7.29,7.44,7.58,8.62,10.79,10.86,
On,-,8,89.85,1466.32,38:49.4,1.92,2.9,3.65,4.34,4.62,5.02,6.28,6.6,7.07,7.35,6.58,7.04,8.14,7.75,12.52,
On,-,11,91.79,1507.76,52:08.0,1.03,3.36,3.78,4.29,4,5.34,7.12,6.76,7.32,7.48,6.85,6.64,8.29,10.55,10.01,
On,-,13,91.14,1487.63,05:39.8,1.82,3.49,3.71,4.33,4.54,4.14,5.74,7.28,7.89,7.66,6.8,6.93,7.77,9.86,10.99,
On,-,15,88.3,1438.6,13:09.1,1.84,2.99,3.71,3.73,4.4,4.73,6.66,6.33,6.73,7,7.03,7.72,7.71,8.32,11.23,
