Test Date: 24/10/2024 16:37,,,,,,,,,,,,,,,,,,,,,,,
Time zone,E. South America Standard Time,,,,,,,,,,,,,,,,,,,,,,
Test Date,24-Oct-24,,,,,,,,,,,,,,,,,,,,,,
Trigger,,,,,,,,,,,,,,,,,,,,,,,
Requires Trigger,Off,,,,,,,,,,,,,,,,,,,,,,
Trigger Channel,,,,,,,,,,,,,,,,,,,,,,,
Deceleration,,,,,,,,,,,,,,,,,,,,,,,
Ignore runs that exceed (g),2,,,,,,,,,,,,,,,,,,,,,,
Smooth Level,4,,,,,,,,,,,,,,,,,,,,,,
Speed Quality,,,,,,,,,,,,,,,,,,,,,,,
Check,Off,,,,,,,,,,,,,,,,,,,,,,
Speed threshold (km/h),0.1,,,,,,,,,,,,,,,,,,,,,,
In (s),0.05,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),Speed (At End) (km/h),Speed (At End) (km/h),,,,,,,,,,,,,,,Notes
On,+,1,90.25,1477.52,03:08.6,0.5,30,30,3.43,3.82,4.76,5.11,5.97,6.29,6.59,7.25,7.86,9.41,11.06,9.34,8.74,9.51,
On,-,2,90.85,1477.96,07:01.7,1.42,30,30,3.38,3.65,4.15,4.48,4.46,6.88,6.47,7.12,7.89,7.1,7.49,8.42,11.24,10.18,
On,+,3,96.1,1570.86,10:19.0,0.74,30,30,3.39,4.15,4.53,4.92,5.58,6.09,6.54,6.77,7.37,9.65,10.21,8.62,8.69,8.06,
On,-,4,92.42,1506.97,13:50.1,2.35,30,30,3.14,3.89,3.85,4.18,2.02,7.59,8.02,7.23,7.8,7.01,7.39,8.04,10.38,10.56,
On,+,5,93.29,1536.1,18:02.7,0.6,30,30,3.56,4.06,4.46,5.25,5.58,6.72,7.23,7.3,8.95,10.59,9.57,8.64,8.86,10.85,
On,-,6,92.24,1499.95,21:50.3,1.44,30,30,3.1,3.77,4,4.64,1.76,3.88,11.48,7.46,7.68,6.78,7.68,8.05,10.18,10.68,
On,+,7,95.02,1559.59,25:12.7,0.66,30,30,3.24,3.78,4.68,5.08,5.5,6.08,6.72,6.75,7.48,9.73,10.51,8.56,9.11,9.07,
On,-,8,90.56,1477.72,28:54.2,2.49,30,30,3.24,3.53,3.36,4.03,6.43,5.75,6.61,6.98,7.54,6.81,7.17,9.07,10.64,9.83,
On,+,9,93.63,1533.86,32:32.4,0.74,30,30,3.46,3.87,4.73,4.87,5.46,6.06,6.53,6.61,7.31,9.58,10.2,8.8,8.03,8.98,
On,-,10,88.85,1445.44,37:30.1,1.52,30,30,3.29,3.47,4,2.85,6.63,5.8,5.56,8.18,7.62,6.96,7.36,7.51,9.22,11.24,
On,+,11,93.99,1545.45,40:54.5,0.61,30,30,3.46,3.95,4.23,4.99,5.36,5.78,6.12,6.89,7.52,9.53,9.97,8.96,8.82,8.41,
On,-,12,90.45,1471.21,44:31.3,1.44,30,30,3.29,3.73,3.92,4.05,5.08,6.3,6.45,7.23,7.81,6.7,7.02,7.92,10.4,10.54,
,,Average,92.3,1508.55,23:39.0,1.21,30,30,3.21,3.87,3.87,4.82,5.2,6.14,6.4,6.93,7.33,8.09,8.6,8.73,9.68,9.44,
,,Max,96.1,1570.86,44:31.3,2.49,30,30,3.47,4.18,4.33,5.96,6.27,7.36,6.62,7.51,7.81,9.85,10.74,9.72,11.23,10.54,
,,Min,88.85,1445.44,03:08.6,0.5,30,30,2.89,3.62,2.81,4.05,3.7,5.33,6.12,6.37,6.81,6.7,6.73,7.74,8.1,8.41,
,,Std Dev,2.18,39.95,13:37.1,0.69,0,0,0.18,0.2,0.45,0.51,0.68,0.59,0.16,0.35,0.3,1.25,1.62,0.56,1.12,0.7,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),Speed (At End) (km/h),Speed (At End) (km/h),,,,,,,,,,,,,,,Notes
On,+,1,90.25,1477.52,03:08.6,0.5,30,30,3.29,3.79,4,4.96,5.1,5.33,6.42,6.37,6.81,8.28,9.01,9.46,8.1,9.33,
On,+,3,96.1,1570.86,10:19.0,0.74,30,30,3.18,4.04,4.33,5.11,5.39,5.99,6.14,7.03,7.68,9.42,10.56,8.62,9.18,9.41,
On,+,5,93.29,1536.1,18:02.7,0.6,30,30,3.17,4.17,4.31,4.83,5.41,6.01,6.28,6.55,7.15,9.27,10.22,8.78,8.44,8.68,
On,+,7,95.02,1559.59,25:12.7,0.66,30,30,3.15,4.18,4.11,5.19,5.08,6.16,6.57,6.59,7.63,9.85,9.97,8.59,9.32,8.64,
On,+,9,93.63,1533.86,32:32.4,0.74,30,30,3.1,4.01,4.23,4.87,5.4,5.83,6.43,6.72,6.98,9.06,10.74,8.95,8.32,8.99,
On,+,11,93.99,1545.45,40:54.5,0.61,30,30,3.46,3.95,4.23,4.99,5.36,5.78,6.12,6.89,7.52,9.53,9.97,8.96,8.82,8.41,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Run-Use,Heading,Run,Time (s),Distance (m),Start Time,Max Decel (g),Speed (At End) (km/h),Speed (At End) (km/h),,,,,,,,,,,,,,,Notes
On,-,2,90.85,1477.96,07:01.7,1.42,30,30,3.47,3.64,3.33,4.79,4.27,7.14,6.56,6.86,7.36,7.06,6.85,8.4,10.89,10.22,
On,-,4,92.42,1506.97,13:50.1,2.35,30,30,3.41,3.63,3.62,4.37,5.99,6.18,6.4,7.42,7.19,7.02,7.64,8.74,11.23,9.6,
On,-,6,92.24,1499.95,21:50.3,1.44,30,30,3.03,3.84,3.68,4.21,6.27,6.01,6.41,7.51,7.1,7.04,6.73,9.72,10.92,9.79,
On,-,8,90.56,1477.72,28:54.2,2.49,30,30,3.03,3.84,2.81,5.96,5.29,5.58,6.62,7.18,7.21,7.1,7.16,8.88,10.53,9.33,
On,-,10,88.85,1445.44,37:30.1,1.52,30,30,2.89,3.62,3.93,4.47,3.7,7.36,6.45,6.8,7.48,6.78,7.3,7.74,10,10.36,
On,-,12,90.45,1471.21,44:31.3,1.44,30,30,3.29,3.73,3.92,4.05,5.08,6.3,6.45,7.23,7.81,6.7,7.02,7.92,10.4,10.54,
